X,Y,stationtype,stationmmsi,stationname,objectid
-8867646.1104,5196494.2451,NAIS,3669769,Ripley,80
-8501595.0138,5389676.8853,NAIS,3669754,Sunset Bay,81
-9313020.0717,5394919.4104,NAIS,3669181,Bay City,82
-9186888.8112,5330933.9876,NAIS,3669773,Lake Port,83
-9280384.8407,5106767.4882,NAIS,3669182,Maumee Bay,84
-9239649.712,5469935.8152,NAIS,3669776,Port Austin,85
-9255102.9585,5203714.0368,NAIS,3669778,Wayne,86
-9588910.0337,5302899.8185,NAIS,3669785,Agnew,87
-9596229.3106,5535447.8226,NAIS,3669786,Arcadia,88
-9694926.436,5658529.0235,NAIS,3669779,Ellison Bay,89
-9684570.5598,5107582.5417,NAIS,3669784,Michigan City,90
-9778935.5772,5290076.164,NAIS,3669783,Oak Creek,91
-9752353.3821,5497408.5698,NAIS,3669780,Point Beach,92
-9760959.5802,5172548.9866,NAIS,3669193,Wilmette,93
-9287756.6815,5654907.2689,NAIS,3669787,Alpena,94
-9450963.4687,5730368.5955,NAIS,3669788,Bliss,95
-9816601.8253,6002651.9761,NAIS,3669799,Eagle Harbor,96
-9572734.6864,5883736.2284,NAIS,3669796,Grand Marais,97
-9571064.8853,5789525.2169,NAIS,3669183,Gulliver,98
-10215263.8646,5942870.7124,NAIS,3669792,Larsmont,99
-10055335.7931,6072819.0737,NAIS,3669795,Maple Hill,100
-9280380.4992,5106758.7003,NAIS,3669798,Marquette,101
-9981895.8374,5911533.3138,NAIS,3669789,Porcupine Mountain,102
-13847737.6538,4930394.8132,NAIS,3669135,Cape Mendocino,103
-13762578.2078,4707072.168,NAIS,3669136,Point Arena,104
-13817738.1708,5027008.4618,NAIS,3669137,Walker Ridge,105
-13476332.2979,4234572.8743,NAIS,3669138,Cambria,106
-13182050.2508,3945793.3594,NAIS,3669139,Catalina Island,107
-13425750.9304,4108058.8704,NAIS,3669140,Honda Ridge,108
-13254256.5436,4043220.3645,NAIS,3669141,Laguna Peak,109
-13303240.2369,3927130.0732,NAIS,3669184,San Nicolas Island,110
-13051126.2565,3851635.5249,NAIS,3669142,Point Loma,111
-13186843.3308,3880915.5795,NAIS,3669185,San Clemente Island,112
-13079602.4607,3943475.475,NAIS,3669186,San Onofre Peak,113
-13602865.9725,4458029.1653,NAIS,3669187,Bush Bluff,114
